theme,bg_hex,fg_hex,card_surface,ink_body_on_card,ink_headline_on_card,accent_on_card,passes_aa
"Popping And Locking",#181921,#ebdbb2,#22232e,11.35,11.45,8.37,PASS
"Powershell",#052454,#f6f6f7,#06285e,13.15,13.20,11.38,PASS
"Primary",#ffffff,#000000,#f0f0f0,18.38,18.38,3.76,PASS
"Pro",#000000,#f2f2f2,#0f0f0f,17.09,17.18,12.15,PASS
"Pro Light",#ffffff,#191919,#f0f0f0,15.39,15.76,3.55,PASS
"Purple Rain",#21084a,#fffbf6,#260955,16.27,16.27,13.64,PASS
"Purplepeter",#2a1a4a,#ece7fa,#301e55,12.06,12.08,9.07,PASS
"Rapture",#111e2a,#c0c9e5,#162737,9.22,9.32,9.88,PASS
"Raycast Dark",#1a1a1a,#ffffff,#282828,14.79,14.79,10.37,PASS
"Raycast Light",#ffffff,#000000,#f0f0f0,18.38,18.38,6.67,PASS
"Rebecca",#292a44,#e8e6ed,#30314f,10.13,10.21,10.28,PASS
"Red Alert",#762423,#ffffff,#7e2725,9.54,9.54,6.64,PASS
"Red Planet",#222222,#c2b790,#2f2f2f,6.65,6.86,5.17,PASS
"Red Sands",#7a251e,#d7c9a7,#822720,5.65,5.76,7.56,PASS
"Relaxed",#353a44,#d9d9d9,#3e444f,6.97,7.10,7.26,PASS
"Retro",#000000,#13a10e,#0f0f0f,5.59,5.89,7.35,PASS
"Retro Legends",#0d0d0d,#45eb45,#1c1c1c,10.79,10.88,11.57,PASS
"Rippedcasts",#2b2b2b,#ffffff,#383838,11.78,11.78,5.68,PASS
"Rose Pine",#191724,#e0def4,#221f31,12.13,12.18,9.47,PASS
"Rose Pine Dawn",#faf4ed,#575279,#ebe5df,5.83,6.68,3.04,PASS
"Rose Pine Moon",#232136,#e0def4,#2b2842,10.69,10.74,8.28,PASS
"Rouge 2",#17182b,#a2a3aa,#1e1f38,6.39,6.70,9.34,PASS
"Royal",#100815,#514968,#1b0d23,2.22,2.42,11.84,FAIL
"Ryuuko",#2c3941,#ececec,#34434c,8.66,8.73,4.39,PASS
"Sakura",#18131e,#dd7bdc,#231c2c,6.26,6.36,14.27,PASS
"Scarlet Protocol",#1c153d,#e41951,#211949,3.50,3.54,13.07,FAIL
"Sea Shells",#09141b,#deb88d,#0e1e29,9.18,9.32,12.40,PASS
"Seafoam Pastel",#243435,#d4e7d4,#2c4041,8.45,8.54,7.58,PASS
"Selenized Black",#181818,#b9b9b9,#262626,7.73,8.03,8.71,PASS
"Selenized Dark",#103c48,#adbcbc,#124553,5.33,5.53,5.89,PASS
"Selenized Light",#fbf3db,#53676d,#ece4ce,4.70,5.48,4.07,PASS
"Seoulbones Dark",#4b4b4b,#dddddd,#565656,5.42,5.51,4.20,PASS
"Seoulbones Light",#e2e2e2,#555555,#d4d4d4,5.05,5.77,4.40,PASS
"Seti",#111213,#cacecd,#1e1f21,10.36,10.61,7.92,PASS
"Shades Of Purple",#1e1d40,#ffffff,#23224b,14.93,14.93,10.48,PASS
"Shaman",#001015,#405555,#001b23,2.25,2.55,9.96,FAIL
"Slate",#222222,#35b1d2,#2f2f2f,5.32,5.43,8.73,PASS
"Sleepy Hollow",#121214,#af9a91,#1f1f22,6.17,6.44,10.97,PASS
"Smyck",#1b1b1b,#f7f7f7,#292929,13.64,13.69,8.65,PASS
"Snazzy",#1e1f29,#ebece6,#272936,12.16,12.26,10.44,PASS
"Snazzy Soft",#282a36,#eff0eb,#313342,10.85,10.93,9.42,PASS
"Soft Server",#242626,#99a3a2,#303333,4.92,5.19,7.89,PASS
"Solarized Darcula",#3d3f41,#d2d8d9,#484a4c,6.17,6.29,2.46,PASS
"Solarized Dark Higher Contrast",#001e27,#9cc2c3,#002834,8.07,8.33,5.87,PASS
"Solarized Dark Patched",#001e27,#708284,#002834,3.86,4.18,4.68,FAIL
"Solarized Osaka Night",#1a1b26,#c0caf5,#232433,9.46,9.50,8.91,PASS
"Sonokai",#2c2e34,#e2e2e3,#363940,8.94,9.06,6.33,PASS
"Spacedust",#0a1e24,#ecf0c1,#0e2931,12.91,12.99,6.49,PASS
"Spacegray",#20242d,#b3b8c3,#292e3a,6.83,7.04,5.22,PASS
"Spacegray Bright",#2a2e3a,#f3f3f3,#333746,10.63,10.69,6.20,PASS
"Spacegray Eighties",#222222,#bdbaae,#2f2f2f,6.86,7.10,9.36,PASS
"Spacegray Eighties Dull",#222222,#c9c6bc,#2f2f2f,7.80,8.02,7.31,PASS
"Spiderman",#1b1d1e,#e3e3e3,#272a2c,11.25,11.40,4.30,PASS
"Spring",#ffffff,#4d4d4c,#f0f0f0,7.41,8.36,4.53,PASS
"Square",#1a1a1a,#acacab,#282828,6.51,6.83,10.72,PASS
"Squirrelsong Dark",#372920,#b19b89,#433227,4.60,4.79,4.63,PASS
"Srcery",#1c1b19,#fce8c3,#2a2825,12.22,12.24,9.17,PASS
"Starlight",#242424,#ffffff,#313131,12.98,12.98,7.68,PASS
"Sublette",#202535,#ccced0,#272d41,8.60,8.81,10.61,PASS
"Subliminal",#282c35,#d4d4d4,#313641,8.16,8.33,6.17,PASS
"Sugarplum",#111147,#db7ddd,#141452,6.40,6.50,16.82,PASS
"Sundried",#1a1818,#c9c9c9,#282525,9.21,9.47,10.77,PASS
"Sunset Drive",#0f0f1a,#ededfe,#171728,15.27,15.27,14.23,PASS
"Symfonic",#000000,#ffffff,#0f0f0f,19.13,19.13,12.43,PASS
"Synthwave",#000000,#dad9c7,#0f0f0f,13.42,13.66,9.94,PASS
"Synthwave Alpha",#241b30,#f2f2e3,#2d223c,13.20,13.28,11.52,PASS
"Synthwave Everything",#2a2139,#f0eff1,#332845,12.00,12.07,10.50,PASS
"Tango Adapted",#ffffff,#000000,#f0f0f0,18.38,18.38,2.58,PASS
"Tango Half Adapted",#ffffff,#000000,#f0f0f0,18.38,18.38,3.35,PASS
"Tearout",#34392d,#f4d2ae,#3f4536,6.95,6.98,5.73,PASS
"Teerb",#262626,#d0d0d0,#333333,8.19,8.38,9.23,PASS
"Terafox",#152528,#e6eaea,#1c3135,11.26,11.37,8.64,PASS
"Terminal Basic",#ffffff,#000000,#f0f0f0,18.38,18.38,11.19,PASS
"Terminal Basic Dark",#1d1e1d,#ffffff,#2a2c2a,14.14,14.14,10.55,PASS
"Thayer Bright",#1b1d1e,#f8f8f8,#272a2c,13.60,13.64,7.53,PASS
"The Hulk",#1b1d1e,#b5b5b5,#272a2c,7.04,7.34,3.77,PASS
"Tinacious Design Dark",#1d1d26,#cbcbf0,#272733,9.37,9.43,8.06,PASS
"Tinacious Design Light",#f8f8ff,#1d1d26,#e9e9f0,13.85,14.30,2.52,PASS
"TokyoNight",#1a1b26,#c0caf5,#232433,9.46,9.50,8.91,PASS
"TokyoNight Day",#e1e2e7,#3760bf,#d3d4d9,3.97,4.64,3.74,FAIL
"TokyoNight Moon",#222436,#c8d3f5,#2a2c42,9.17,9.21,9.24,PASS
"TokyoNight Night",#1a1b26,#c0caf5,#232433,9.46,9.50,8.91,PASS
"TokyoNight Storm",#24283b,#c0caf5,#2b3047,8.05,8.08,7.57,PASS
"Tomorrow",#ffffff,#4d4d4c,#f0f0f0,7.41,8.36,4.53,PASS
"Tomorrow Night",#1d1f21,#c5c8c6,#292c2e,8.38,8.62,6.82,PASS
"Tomorrow Night Blue",#002451,#ffffff,#00295b,14.34,14.34,12.36,PASS
"Tomorrow Night Bright",#000000,#eaeaea,#0f0f0f,15.90,16.05,8.98,PASS
"Tomorrow Night Burns",#151515,#a1b0b8,#232323,7.04,7.32,6.54,PASS
"Tomorrow Night Eighties",#2d2d2d,#cccccc,#3a3a3a,7.13,7.31,6.03,PASS
"Toy Chest",#24364b,#31d07b,#293e56,5.46,5.58,5.04,PASS
"Treehouse",#191919,#786b53,#272727,2.87,3.14,8.66,FAIL
"Twilight",#141414,#ffffd4,#222222,15.52,15.52,10.83,PASS
"Ubuntu",#300a24,#eeeeec,#3c0d2d,14.03,14.14,10.18,PASS
"Ultra Dark",#000000,#ffffff,#0f0f0f,19.13,19.13,14.80,PASS
"Ultra Violent",#242728,#c1c1c1,#303435,7.03,7.27,9.93,PASS
"Under The Sea",#011116,#ffffff,#021c24,17.62,17.62,9.85,PASS
"Unikitty",#ff8cd9,#0b0b0b,#f084cc,8.29,8.34,2.49,PASS
"Urple",#1b1b23,#877a9b,#252530,3.81,4.03,12.56,FAIL
"Vague",#141415,#cdcdcd,#212123,10.07,10.33,8.82,PASS
"Vaughn",#25234f,#dcdccc,#2a285a,9.82,9.98,9.08,PASS
"Vercel",#101010,#fafafa,#1e1e1e,15.91,15.95,10.20,PASS
"Vesper",#101010,#ffffff,#1e1e1e,16.61,16.61,8.93,PASS
"Vibrant Ink",#000000,#ffffff,#0f0f0f,19.13,19.13,15.25,PASS
"Vimbones",#f0f0ca,#353535,#e2e2be,9.23,9.97,6.08,PASS
"Violet Dark",#1c1d1f,#708284,#282a2c,3.59,3.89,4.60,FAIL
"Violet Light",#fcf4dc,#536870,#ede5cf,4.67,5.45,4.41,PASS
"Violite",#241c36,#eef4f6,#2c2242,13.34,13.39,11.33,PASS
"Warm Neon",#404040,#afdab6,#4b4b4b,5.58,5.68,4.84,PASS
"Wez",#000000,#b3b3b3,#0f0f0f,9.12,9.52,15.61,PASS
"Whimsy",#29283b,#b3b0d6,#313047,6.14,6.26,5.85,PASS
"Wild Cherry",#1f1726,#dafaff,#2a1f33,14.26,14.26,13.27,PASS
"Wilmersdorf",#282b33,#c6c6c6,#32353f,7.14,7.36,8.56,PASS
"Wombat",#171717,#dedacf,#252525,10.99,11.16,13.65,PASS
"Wryan",#101010,#999993,#1e1e1e,5.80,6.17,5.23,PASS
"Xcode Dark",#292a30,#dfdfe0,#34353c,9.18,9.32,7.94,PASS
"Xcode Dark hc",#1f1f24,#ffffff,#2a2a31,14.19,14.19,9.93,PASS
"Xcode Light",#ffffff,#262626,#f0f0f0,13.24,13.89,8.57,PASS
"Xcode Light hc",#ffffff,#000000,#f0f0f0,18.38,18.38,9.44,PASS
"Xcode WWDC",#292c36,#e7e8eb,#323642,9.85,9.94,4.23,PASS
"Zenbones",#f0edec,#2c363c,#e2dfde,9.30,10.04,6.08,PASS
"Zenbones Dark",#1c1917,#b4bdc3,#2a2522,7.94,8.19,6.62,PASS
"Zenbones Light",#f0edec,#2c363c,#e2dfde,9.30,10.04,6.08,PASS
"Zenburn",#3f3f3f,#dcdccc,#4b4b4b,6.34,6.45,5.87,PASS
"Zenburned",#404040,#f0e4cf,#4b4b4b,6.89,6.93,3.79,PASS
"Zenwritten Dark",#191919,#bbbbbb,#272727,7.80,8.09,6.55,PASS
"Zenwritten Light",#eeeeee,#353535,#e0e0e0,9.27,10.01,6.10,PASS
"branch",#32221a,#cfc1a9,#3e2a20,7.58,7.76,4.19,PASS
"iTerm2 Dark Background",#000000,#c7c7c7,#0f0f0f,11.31,11.65,15.48,PASS
"iTerm2 Default",#000000,#ffffff,#0f0f0f,19.13,19.13,15.48,PASS
"iTerm2 Light Background",#ffffff,#000000,#f0f0f0,18.38,18.38,8.79,PASS
"iTerm2 Pastel Dark Background",#000000,#c7c7c7,#0f0f0f,11.31,11.65,15.59,PASS
"iTerm2 Smoooooth",#15191f,#dcdcdc,#1e242c,11.40,11.60,12.65,PASS
"iTerm2 Solarized Dark",#002b36,#839496,#003542,4.20,4.48,4.97,FAIL
"iTerm2 Solarized Light",#fdf6e3,#657b83,#eee7d5,3.62,4.30,3.69,FAIL
"iTerm2 Tango Dark",#000000,#ffffff,#0f0f0f,19.13,19.13,12.43,PASS
"iTerm2 Tango Light",#ffffff,#000000,#f0f0f0,18.38,18.38,4.26,PASS
"novmbr",#241d1a,#c7b8ac,#312823,7.48,7.70,4.65,PASS
"owl",#2f2b2c,#dedede,#3b3638,8.76,8.90,5.50,PASS
"traffic",#272c30,#cfb9a8,#31373c,6.37,6.52,2.30,PASS
"urban",#312e39,#c0a79a,#3b3845,5.05,5.21,1.74,PASS
